6/Nov/2016 - 20h32m22s | Debug | [MOUSE LEFT 1392, 271]
6/Nov/2016 - 20h32m22s | Debug | s
6/Nov/2016 - 20h32m24s | Debug | [MOUSE LEFT 1356, 267]
6/Nov/2016 - 20h32m25s | Debug | ssssssssssss
6/Nov/2016 - 20h32m34s | NONE | [MOUSE LEFT 319, 1066]
6/Nov/2016 - 20h33m09s | Debug | [MOUSE LEFT 1406, 266]
6/Nov/2016 - 20h33m09s | Debug | [MOUSE LEFT 1404, 266]
6/Nov/2016 - 20h33m09s | Debug | [MOUSE LEFT 1404, 266]
6/Nov/2016 - 20h33m10s | Debug | [MOUSE LEFT 1404, 266]
6/Nov/2016 - 20h33m10s | Debug | [MOUSE LEFT 1403, 265]
6/Nov/2016 - 20h33m14s | Debug | [BACKSPACE]testentcp
